method,dt,error
euler,0.0625,0.01180531071964952
euler,0.03125,0.005824151915125697
euler,0.015625,0.002892916927534961
euler,0.0078125,0.001441725249405168
euler,0.00390625,0.0007196862799060955
euler,0.001953125,0.0003595499169070093
euler,0.0009765625,0.00017970176017118034
rk2,0.0625,0.0002510975451020525
rk2,0.03125,6.130220242739348e-05
rk2,0.015625,1.5145879413813734e-05
rk2,0.0078125,3.7642782991786916e-06
rk2,0.00390625,9.383121931660909e-07
rk2,0.001953125,2.342344066486035e-07
rk2,0.0009765625,5.851570950010654e-08
rk4,0.0625,4.9281128622347126e-08
rk4,0.03125,3.000808712627645e-09
rk4,0.015625,1.8512291699579464e-10
rk4,0.0078125,1.1494971641212715e-11
rk4,0.00390625,7.159273174295322e-13
rk4,0.001953125,4.451994328746878e-14
rk4,0.0009765625,2.0539125955565396e-15
