method,dt,cpu,gpu,speedup
euler,0.0625,1.4919787645339966e-05,0.00044399499893188477,0.033603503826016914
euler,0.03125,1.3919547200202942e-05,0.0008212719112634659,0.016948768135499424
euler,0.015625,1.936778426170349e-05,0.0015872195363044739,0.012202334849530354
euler,0.0078125,3.08305025100708e-05,0.0031341705471277237,0.009836893700097169
euler,0.00390625,5.3258612751960754e-05,0.006170652806758881,0.008630952740304102
euler,0.001953125,0.00010234862565994263,0.01232132501900196,0.00830662493701777
euler,0.0009765625,0.00019896775484085083,0.024503568187355995,0.00811995025865333
rk2,0.0625,1.8231570720672607e-05,0.00083962082862854,0.021714052461576688
rk2,0.03125,2.16607004404068e-05,0.0016201511025428772,0.01336955572008664
rk2,0.015625,3.439374268054962e-05,0.0031933393329381943,0.010770462858672745
rk2,0.0078125,5.80810010433197e-05,0.006320327520370483,0.009189555581751739
rk2,0.00390625,0.00011030957102775574,0.01255962997674942,0.008782867905500601
rk2,0.001953125,0.00020962953567504883,0.025060312822461128,0.00836500075478553
rk2,0.0009765625,0.0004268959164619446,0.05004780553281307,0.008529762932004218
rk4,0.0625,2.934969961643219e-05,0.002386918291449547,0.012296063808119912
rk4,0.03125,4.480965435504913e-05,0.004658780992031097,0.009618321709412098
rk4,0.015625,7.741712033748627e-05,0.009158113971352577,0.008453391230951497
rk4,0.0078125,0.0001432374119758606,0.01817581057548523,0.007880661573853174
rk4,0.00390625,0.0002776551991701126,0.03611159138381481,0.007688810947682507
rk4,0.001953125,0.000548170879483223,0.07333733886480331,0.007474649175555317
rk4,0.0009765625,0.0010781176388263702,0.14814758859574795,0.00727732154836649
